ChEMBL_ID,Name,SMILES,MW,Source,Tanimoto_MaxSim,Best_Match_Ref,P_EGFR_active,QED,Repurposing_Score
CHEMBL443,SULFAMETHOXAZOLE,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,253.28,ChEMBL,0.1085,Lapatinib,0.2122,0.8047,0.2892
CHEMBL9,NORFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,319.34,ChEMBL,0.0909,Gefitinib,0.1864,0.891,0.2891
CHEMBL289469,GRANISETRON,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,312.42,ChEMBL,0.0916,Afatinib,0.1679,0.9257,0.2889
CHEMBL76,CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,319.88,ChEMBL,0.152,Afatinib,0.192,0.7564,0.2889
CHEMBL19490,ZOMEPIRAC,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,291.73,ChEMBL,0.1197,Afatinib,0.1604,0.8813,0.2883
CHEMBL32,MOXIFLOXACIN,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,401.44,ChEMBL,0.102,Gefitinib,0.2096,0.8185,0.2883
CHEMBL460,MOLINDONE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,276.38,ChEMBL,0.12,Gefitinib,0.1417,0.9177,0.2882
CHEMBL831,LOXAPINE,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,327.82,ChEMBL,0.144,Gefitinib,0.2076,0.737,0.288
CHEMBL406,INDAPAMIDE,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.84,ChEMBL,0.0963,Afatinib,0.1885,0.8705,0.288
CHEMBL453,SULFISOXAZOLE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,267.31,ChEMBL,0.0992,Lapatinib,0.2084,0.8242,0.2879
CHEMBL27,PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12,259.35,ChEMBL,0.1204,Erlotinib,0.1794,0.8375,0.2874
CHEMBL57,NEVIRAPINE,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,266.3,ChEMBL,0.0979,Osimertinib,0.1892,0.8617,0.2872
CHEMBL437,SULFATHIAZOLE,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,255.32,ChEMBL,0.1008,Lapatinib,0.2091,0.8143,0.2868
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.79,ChEMBL,0.1163,Gefitinib,0.2153,0.7678,0.2862
CHEMBL781,MAZINDOL,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,284.75,ChEMBL,0.1048,Gefitinib,0.1732,0.8737,0.2859
CHEMBL54,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87,ChEMBL,0.1452,Gefitinib,0.1893,0.7593,0.2857
CHEMBL416146,ETORICOXIB,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,358.85,ChEMBL,0.1241,Lapatinib,0.2371,0.7044,0.2854
